List,Syns
[1],"[['Elephantiasis'], ['podoconiosis'], ['elephantiasis', 'Elephantiasis']]"
[2],"[['adenoiditis', 'chronic adenoiditis'], ['Chronic adenoiditis'], ['Spastic tetraplegia'], ['Serine Endopeptidases']]"
"[1, 0]","[['obsolete complex genetic disease'], ['Hypophosphatemia, familial', 'obsolete familial hypophosphatemia', 'familial hypophosphataemia']]"
"[1, 0]","[['Senior-Loken syndrome', 'Loken Senior syndrome', 'renal-retinal syndrome'], ['nephronophthisis', 'medullary cystic kidney', 'medullary cystic disease']]"
"[1, 0]","[['AHC', 'alternating hemiplegia of childhood'], ['nervous system disease']]"
[3],"[['Hypokalemic periodic paralysis', 'Westphal disease', 'hypokalemic periodic paralysis', 'Hypokalemic familial periodic paralysis', 'familial hypokalemic periodic paralysis', 'Periodic paralysis I'], ['familial hyperkalemic periodic paralysis', 'hyperkalemic periodic paralysis'], ['familial periodic paralysis'], ['Timothy syndrome']]"
"[1, 0]","[['diversion colitis'], ['chemical colitis']]"
"[1, 0]","[['Peters anomaly'], ['flat cornea', 'cornea plana']]"
"[1, 0]","[['omphalocele', 'omphalocoele'], ['umbilical hernia']]"
"[1, 0]","[['calcium metabolism disease'], ['familial benign hypercalcemia', 'FBH', 'FHH', 'familial benign hypocalciuric hypercalcemia', 'familial hypocalciuric hypercalcemia', 'FBHH']]"
[4],"[['wet beriberi'], ['beriberi'], ['Beriberi'], ['Beriberi'], ['thiamine deficiency disease'], ['dry beriberi'], ['Beriberi']]"
[2],"[['Flexural psoriasis', 'Other psoriasis'], ['psoriasis 2'], ['2-oxazolidone'], ['Flexural psoriasis', 'Other psoriasis']]"
[2],"[['dry eye syndrome', 'Tear film insufficiency'], ['Dry eye syndrome', 'Tear film insufficiency, NOS'], ['Conjunctival xerosis', 'xerophthalmia']]"
[4],"[['papilledema'], ['Optic papillitis'], ['papillitis', 'optic papillitis'], ['Papilledema'], ['retinal edema']]"
"[5, 3]","[['Internuclear ophthalmoplegia'], ['Total ophthalmoplegia', 'oculomotor paralysis', 'ophthalmoplegia'], ['Internuclear ophthalmoplegia'], ['ocular motility disease', 'disorder of eye movements', 'eye movement disorder'], ['internuclear ophthalmoplegia'], [""Brown's (tendon) sheath syndrome"", ""Brown's tendon sheath syndrome"", ""Brown's sheath syndrome"", 'Brown tendon sheath syndrome']]"
"[1, 0]","[['chronic lymphocytic leukemia', 'CLL', 'B-cell chronic lymphocytic leukemia', 'B-cell chronic lymphoid leukemia', 'chronic lymphatic leukemia'], [""Richter's syndrome"", 'Richter syndrome']]"
[2],"[['Other polyneuropathies'], ['critical illness polyneuropathy'], ['Meningoencephalitis', 'meningoencephalitis'], ['neuropathy', 'peripheral neuropathy'], ['polyneuropathy']]"
"[1, 0]","[['Glucose: malabsorption', 'glucose intolerance', 'Malabsorption of glucose', 'Glucose: intolerance'], ['prediabetes syndrome', 'prediabetic state', 'Prediabetes']]"
[1],"[['l-methylfolate'], ['Lepromatous leprosy', 'lepromatous leprosy', 'type L leprosy'], ['l-methylfolate']]"
[3],"[['anti-glomerular basement membrane disease', 'anti-GBM disease', 'Goodpasture syndrome'], ['Allergic purpura', 'Henoch-Sch?nlein purpura', 'Henoch-Sch@nlein purpura', 'Henoch-Schoenlein purpura', 'Autoimmune purpura'], ['IgA glomerulonephritis', ""Berger's IgA or IgG nephropathy"", 'Focal Glomerulonephritis', 'IGA glomerulonephritis', 'IgA nephropathy'], ['hypersensitivity vasculitis']]"
"[1, 0]","[['Cauda equina syndrome'], ['polyradiculopathy', 'Polyradiculopathy']]"
[3],"[['Myxedema'], ['myxedema'], ['Myxedema'], ['Thyroid deficiency', 'Thyroid insufficiency', 'hypothyroidism']]"
[1],"[['obsolete syphilitic pericarditis', 'Syphilitic pericarditis (disorder)'], ['obsolete congenital disorder', 'congenital abnormality'], ['obsolete syphilitic alopecia', 'Syphilitic alopecia (disorder)']]"
[1],"[['Diverticulum of appendix'], ['beta thalassemia'], ['Diverticulum of appendix']]"
"[1, 0]","[['delusional disorder'], ['Paranoid type schizophrenia', 'chronic paranoid schizophrenia', 'Paraphrenia - late', 'paranoid schizophrenia', 'Paraphrenic schizophrenia']]"
[0],"[['cancer', 'malignant neoplasm', 'malignant tumor', 'primary cancer'], ['Tinea Pedis', ""Athlete's Foot""], [""Athlete's foot"", 'tinea pedis', 'Dermatophytosis of foot', 'ringworm of foot']]"
[2],"[['Facial weakness', 'facial weakness following cerebrovascular disease', 'Facial droop', ""Bell's palsy""], ['Facial Palsy', 'facial paralysis'], ['geniculate ganglionitis'], ['Facial palsy', ""Bell's palsy""], ['Bell palsy', ""Bell's palsy"", ""Bell's (facial) palsy""], ['facial nerve disease']]"
"[1, 0]","[['macular holes', 'Macular hole'], ['Retinal dialysis', 'Retinal break', 'Retinal tear', 'retinal perforation']]"
"[1, 0]","[['quadriplegia', 'tetraplegia'], ['Locked in syndrome', 'Locked-in state', 'locked-in syndrome']]"
[5],"[['Diseases of capillaries'], ['Diseases of capillaries'], ['Other diseases of capillaries'], ['Crop, Avian'], ['Carbuncle of neck'], ['Crop Protection'], ['Other diseases of capillaries'], ['capillary disease', 'disease of capillaries'], ['Anaemia of prematurity'], ['Crops, Agricultural', 'Agricultural Crops']]"
"[1, 0]","[['multiple epiphyseal dysplasia', 'polyepiphyseal dysplasia'], ['Congenital anomaly of cartilage', 'chondrodystrophy', 'Osteochondrodysplasia syndrome', 'osteochondrodysplasia', 'Cartilage Development disorder']]"
"[1, 0]","[['leukoplakia of penis', 'Penile Leukoplakia', 'Kraurosis of penis'], ['Penile Lichen Sclerosus', 'balanitis xerotica obliterans']]"
[3],"[['Duodenal Obstruction'], ['duodenal obstruction'], ['Duodenal Obstruction'], ['chronic duodenal ileus']]"
[1],"[['Algoneurodystrophy', 'algoneurodystrophy'], ['reflex sympathetic dystrophy'], ['Algoneurodystrophy, upper arm']]"
[2],"[['Sarcocystosis', 'Sarcosporidiosis'], ['sarcocystosis', 'Sarcosporidiosis'], ['protozoal dysentery']]"
[2],"[['Mushroom-worker lung'], [""mushroom workers' lung""], [""farmer's lung"", 'Farmers lung', 'farmer lung']]"
[1],"[['root resorption'], ['Unspecified astigmatism'], ['Root Resorption']]"
[0],"[['optic nerve disorder', 'disorder of the second nerve', 'optic neuropathy', 'optic nerve disease'], ['Foster-Kennedy syndrome'], ['Foster-Kennedy syndrome']]"
"[1, 0]","[['cherubism'], ['bone spur', 'exostosis', 'bony outgrowth', 'osteophyte', 'orbital exostosis']]"
"[1, 0]","[['Chorioepithelioma', 'choriocarcinoma'], ['neoplasm of placenta', 'placenta cancer', 'malignant Placental tumor', 'malignant neoplasm of placenta', 'Placental tumors']]"
"[1, 0]","[['communication disorder'], ['language disorder']]"
[0],"[['granulomatous angiitis'], ['central nervous system vasculitis'], ['Central Sensitization', 'Central Nervous System Sensitization'], ['Systemic Vasculitis']]"
[0],"[['Columbine', 'Aquilegia'], ['Cystadenocarcinoma'], ['cystadenocarcinoma'], ['Cystadenocarcinoma, NOS', 'Cystadenocarcinomas', 'Cystadenocarcinoma']]"
"[1, 0]","[['Manic Bipolar Affective disorder', 'Depressive-manic psych.', 'bipolar disorder', 'bipolar depression', 'Manic bipolar I disorder', 'Manic Depressive disorder'], ['Sheltered Workshops']]"
"[1, 0]","[['osteosclerotic myeloma'], ['Solitary plasmacytoma of bone', 'Isolated osseous plasmacytoma', 'solitary osseous plasmacytoma']]"
"[1, 0]","[['cervical Mullerian adenosarcoma', 'cervical adenosarcoma', 'cervical Muellerian adenosarcoma'], ['Struck by horse']]"
[1],"[['Common Bile Duct Diseases'], ['Maxillary Diseases'], ['common bile duct disease']]"
"[1, 0]","[['dermatosis papulosa nigra', 'Dermatosis papulosa nigra'], ['seborrheic keratosis']]"
[5],"[['Orbital Diseases'], ['Resistance, Disease', 'Disease Resistance'], ['Orbit disorder NOS'], ['thalamic disease'], ['Monkey Diseases'], ['Lassa virus'], ['orbital disease']]"
"[1, 0]","[['cellular leiomyoma'], ['Benign essential microscopic hematuria']]"
"[1, 0]","[['Papillary Syringadenoma', 'syringocystadenoma papilliferum', 'Papillary syringadenoma', 'Syringocystadenoma papilliferum'], ['papillary hidradenoma']]"
